date,forecast_litres,tankers_needed,market_price_per_l,market_cost_rs,prebook_cost_rs,savings_rs,weekend,bwssb_supply_index_used
2025-11-10,17829.3,2,0.14,2496.1,2496.1,0.0,0,1.0
2025-11-11,19748.0,2,0.14,2764.72,2764.72,0.0,0,1.0
2025-11-12,20562.0,2,0.1401,2880.73,2878.68,2.06,0,1.0
2025-11-13,21616.9,2,0.1412,3052.31,3026.37,25.94,0,1.0
2025-11-14,20089.1,2,0.14,2812.47,2812.47,0.0,0,1.0
2025-11-15,21482.0,2,0.1495,3211.56,3007.48,204.08,1,1.0
2025-11-16,19467.0,2,0.1474,2869.44,2725.39,144.06,1,1.0
